nose_x,nose_y,nose_z,nose_visibility,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_visibility,left_eye_x,left_eye_y,left_eye_z,left_eye_visibility,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_visibility,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_visibility,right_eye_x,right_eye_y,right_eye_z,right_eye_visibility,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_visibility,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,right_ear_x,right_ear_y,right_ear_z,right_ear_visibility,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_visibility,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_visibility,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_visibility,left_index_x,left_index_y,left_index_z,left_index_visibility,right_index_x,right_index_y,right_index_z,right_index_visibility,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_visibility,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility,label
0.39556241,0.463716388,0.054289669,0.999559581,0.402612925,0.444001406,0.023684399,0.999542236,0.404819846,0.443542659,0.023617847,0.999596179,0.407449961,0.443070233,0.023591354,0.999667764,0.402520359,0.443857133,0.07058502,0.999465644,0.404416978,0.443289071,0.070526682,0.999504566,0.406706572,0.442722887,0.070494443,0.999709189,0.430754125,0.448310226,-0.052486032,0.998971105,0.429231048,0.447362572,0.155061498,0.9996984,0.404128522,0.480535835,0.029803453,0.998092473,0.403611004,0.480267346,0.090215921,0.997201562,0.45752582,0.514309227,-0.176945969,0.996860147,0.458443463,0.533483565,0.270699084,0.994129896,0.322392255,0.526993573,-0.288272172,0.971874356,0.334218293,0.545066953,0.351265222,0.538900793,0.201618254,0.534082294,-0.268639088,0.977550149,0.218686238,0.558581114,0.262985259,0.725702167,0.162828311,0.536869109,-0.312841952,0.971305609,0.195584655,0.559693992,0.265285701,0.694578469,0.162644729,0.533505261,-0.282580435,0.967659116,0.19107914,0.556891024,0.221464619,0.704156399,0.175619185,0.53593564,-0.256403625,0.956778347,0.197562516,0.556974411,0.239906624,0.720947206,0.598733604,0.734346926,-0.139520064,0.998504877,0.583121002,0.727256417,0.139522806,0.997501075,0.424405873,0.788993299,-0.206659451,0.97229135,0.426538199,0.773471892,0.153609216,0.441044867,0.549082935,0.939252853,-0.098478936,0.957411945,0.538893044,0.906425953,0.256055743,0.50822264,0.581861496,0.953827679,-0.085719936,0.950549603,0.572262108,0.928801477,0.265769571,0.603056729,0.496073335,0.984106302,-0.082330741,0.928493142,0.488738,0.96094209,0.269600719,0.612270534,squat_bad_heel
0.397273958,0.46374324,-0.021432353,0.999524474,0.406802416,0.445312142,-0.052398972,0.999518692,0.409483522,0.445263058,-0.052471034,0.999583185,0.412572265,0.445265532,-0.052511971,0.999650121,0.405379891,0.444791824,-0.003471948,0.999421656,0.406964421,0.444348305,-0.003510136,0.99947381,0.408953041,0.443912685,-0.003494878,0.999684989,0.435419351,0.452966511,-0.125658065,0.998947442,0.431634188,0.450581372,0.091553919,0.999682605,0.405229509,0.480710655,-0.045757644,0.998055637,0.404095143,0.480318099,0.017510073,0.997137964,0.457520157,0.531204641,-0.242068648,0.996819437,0.457113504,0.541475654,0.21387139,0.993736625,0.320449322,0.558279872,-0.338119149,0.97160697,0.331065923,0.564100683,0.274314612,0.525120556,0.197221592,0.569264114,-0.32032609,0.976861596,0.214677975,0.577822983,0.177363619,0.70618999,0.160802901,0.575072527,-0.376684129,0.970507622,0.190665543,0.581209838,0.17663987,0.676051676,0.158615366,0.571240187,-0.34716323,0.966846943,0.184491366,0.579041958,0.128665134,0.686274946,0.171983883,0.571430147,-0.31018281,0.955436945,0.192488104,0.578764975,0.15196161,0.703879476,0.598734975,0.751783848,-0.139586195,0.998494089,0.580659389,0.738149405,0.139602438,0.997409523,0.423546255,0.788936138,-0.242489159,0.972743988,0.422592342,0.773549914,0.169467717,0.440963715,0.549280941,0.938806474,-0.145891756,0.95841521,0.537163198,0.904000998,0.273608208,0.508658528,0.581901968,0.953274667,-0.134853259,0.950834095,0.569889545,0.925881863,0.283455908,0.602783442,0.497177869,0.98244673,-0.144852549,0.929801106,0.487706572,0.955328882,0.288530558,0.612775445,squat_bad_heel
0.659844637,0.258214325,-0.240729779,0.998239279,0.653671622,0.235852018,-0.230896577,0.996975362,0.652511358,0.234464809,-0.230943307,0.996682465,0.651212454,0.233301654,-0.230919182,0.997202516,0.650078714,0.235476732,-0.278541237,0.997857869,0.646323442,0.234226033,-0.278633177,0.997774243,0.642544627,0.233342752,-0.278794378,0.998064935,0.626258373,0.228999391,-0.165759802,0.995159209,0.616842926,0.231071711,-0.377096444,0.998569846,0.652549744,0.267611802,-0.202832699,0.996925056,0.644006908,0.26914385,-0.266735435,0.996615648,0.550756752,0.332920462,-0.034937296,0.996888816,0.554285944,0.307916105,-0.434389055,0.994351029,0.605645478,0.42074585,0.01588683,0.876482069,0.624166489,0.42272079,-0.486990005,0.570435047,0.696400583,0.48000589,-0.065189324,0.886669636,0.728514671,0.486688614,-0.476249725,0.731434047,0.703659117,0.507007003,-0.066369399,0.883941114,0.748820126,0.518262863,-0.527858973,0.702481747,0.718453407,0.501594067,-0.105952725,0.881803036,0.751274467,0.513180196,-0.500703454,0.712297022,0.71076715,0.502809882,-0.084556386,0.871200144,0.742471993,0.501137733,-0.465170681,0.725152314,0.626653373,0.525492847,0.132288709,0.998315096,0.638076603,0.558487177,-0.132623225,0.997598708,0.613013566,0.573984265,0.437697202,0.885832369,0.616642237,0.606092691,0.129055485,0.466349602,0.524880528,0.68674469,0.781386673,0.882584751,0.513506114,0.720324755,0.45597291,0.545310438,0.498212844,0.708042681,0.816944778,0.888585031,0.492865026,0.730669558,0.491449714,0.633134902,0.56044054,0.73552978,0.820689917,0.865737081,0.566196084,0.769936144,0.460970968,0.639661133,squat_bad_heel
0.645173728,0.228978157,-0.25739029,0.997667372,0.63902384,0.206528082,-0.243948072,0.995997846,0.63672787,0.205386475,-0.243941382,0.995541632,0.634387672,0.204349756,-0.243905589,0.996353567,0.637799561,0.20659785,-0.297806114,0.997254372,0.634913743,0.205584794,-0.297874987,0.997183502,0.631990433,0.20459494,-0.297959596,0.997512996,0.614612401,0.202208906,-0.155321643,0.993383706,0.610966206,0.201809004,-0.398875475,0.997963667,0.632955313,0.239804864,-0.213755131,0.996189237,0.631199479,0.239502326,-0.285145909,0.996354222,0.569022119,0.274464488,-0.001841479,0.996921659,0.560438693,0.259441763,-0.470816612,0.994906604,0.604243517,0.397530019,0.042043228,0.791245162,0.614911318,0.389429897,-0.535502195,0.611550272,0.677953601,0.472805351,-0.030490723,0.808897376,0.708324552,0.479639411,-0.535528898,0.755615294,0.698112726,0.491724491,-0.024252316,0.810179114,0.708923578,0.508749664,-0.584760547,0.728387415,0.71339798,0.486393631,-0.068044685,0.809232056,0.714234531,0.508226752,-0.55858022,0.737415969,0.706115246,0.48277092,-0.051840596,0.798642457,0.708774924,0.497398704,-0.523914397,0.746591449,0.640156448,0.48717013,0.140639499,0.998303473,0.625353813,0.505160332,-0.140827581,0.997772276,0.636787295,0.585547388,0.386824608,0.830296159,0.602876842,0.621749461,0.049959395,0.502347291,0.514195442,0.687035382,0.659176946,0.832415521,0.503574669,0.712627053,0.326967299,0.577621996,0.487401426,0.707658589,0.685485184,0.848359942,0.478179067,0.728858292,0.354541808,0.659538448,0.547761381,0.738948286,0.670969129,0.831305563,0.549226046,0.76147759,0.301663429,0.665830374,squat_bad_heel
0.647816777,0.217723951,-0.258048058,0.997637868,0.640524268,0.203392372,-0.240919426,0.996003449,0.638585389,0.202786803,-0.240922987,0.995495796,0.636498213,0.202163041,-0.240943432,0.996439517,0.639408052,0.203083351,-0.293695897,0.997234285,0.636817634,0.202329174,-0.293692678,0.997068822,0.634118259,0.201589733,-0.293812931,0.99739778,0.617070079,0.202902243,-0.143614203,0.993307948,0.614286423,0.202491567,-0.388531119,0.99770844,0.640096009,0.230075747,-0.214124128,0.996138394,0.638390601,0.230086759,-0.285374939,0.996266305,0.571804166,0.275137991,-0.004274457,0.99718076,0.589840651,0.254580855,-0.462182134,0.995389998,0.662214458,0.35181728,0.001651023,0.731148839,0.6866436,0.311739475,-0.550200343,0.645675123,0.772180796,0.37666449,-0.093320802,0.770804882,0.808625817,0.347279161,-0.543585598,0.776139319,0.801430762,0.394136488,-0.092093043,0.771282673,0.8332811,0.364797235,-0.60592401,0.750442863,0.807536423,0.391732365,-0.144361436,0.772743464,0.837125599,0.366175532,-0.567541659,0.758298576,0.800355911,0.384540826,-0.118284784,0.761962533,0.827345848,0.361294985,-0.528985202,0.761641264,0.590658307,0.438251823,0.135506555,0.998009324,0.595602512,0.447488695,-0.135987982,0.997692287,0.590922654,0.556559265,0.237247914,0.758234918,0.591916859,0.566928387,-0.177638397,0.531427979,0.515865684,0.688789666,0.42686969,0.767147958,0.512670696,0.698713243,0.08413697,0.591566443,0.493741632,0.702602863,0.445670187,0.790161312,0.491143763,0.709667206,0.110865317,0.674840271,0.546701908,0.733856916,0.40094772,0.773856819,0.552562654,0.758943379,0.065075777,0.670744896,squat_bad_heel
0.654946864,0.227200836,-0.260060549,0.9974612,0.646328151,0.211041391,-0.242123649,0.995754123,0.644311011,0.210561037,-0.242205173,0.995085299,0.642040551,0.210078642,-0.242297381,0.996350408,0.645377457,0.211655468,-0.299027056,0.997122109,0.642778873,0.211656287,-0.299038827,0.996890783,0.639835835,0.211683497,-0.299155414,0.997292936,0.62126863,0.213532507,-0.139798597,0.992867827,0.61945504,0.215595588,-0.397711724,0.997391939,0.646641016,0.240589872,-0.214541182,0.9957335,0.64466536,0.241292804,-0.289587945,0.996080697,0.571650922,0.293625832,0.025182057,0.997338116,0.592330873,0.280925006,-0.49012664,0.995812178,0.648943901,0.34285289,0.06764257,0.67044121,0.7013942,0.331720024,-0.582686722,0.677996039,0.739916205,0.369592786,-0.033960644,0.704547703,0.815439105,0.345488012,-0.569410026,0.793869317,0.748379052,0.374400884,-0.034454107,0.706951439,0.839842081,0.361629575,-0.639928579,0.768617928,0.75904268,0.367317826,-0.082086638,0.70904547,0.846882105,0.360646188,-0.604437828,0.775239825,0.758277714,0.372175395,-0.058080133,0.699918091,0.836981893,0.358005255,-0.557605922,0.770278454,0.568634927,0.465311795,0.162184387,0.997373044,0.562516272,0.472694606,-0.16253534,0.997191668,0.611738145,0.552168489,0.286018968,0.710710645,0.603410065,0.564153612,-0.153375998,0.569581568,0.52467376,0.67596972,0.511190772,0.744146526,0.513227463,0.69818604,0.11126595,0.626373053,0.520759702,0.695201099,0.532822609,0.768585443,0.491226822,0.713758349,0.136546597,0.698080063,0.555639327,0.740378201,0.498191506,0.761298418,0.555373549,0.758322239,0.081370726,0.697020888,squat_bad_heel
0.654514432,0.245778739,-0.252524018,0.997572005,0.646378875,0.226667747,-0.234751657,0.995895684,0.644145489,0.225546345,-0.234914616,0.995236218,0.641613662,0.224414468,-0.235030755,0.996523082,0.645514071,0.226581231,-0.297625214,0.997219205,0.642921686,0.225581437,-0.2976484,0.997010469,0.640079439,0.224676579,-0.297751874,0.997392058,0.619522274,0.225952908,-0.122557722,0.993222594,0.621205866,0.227029979,-0.41297707,0.997373402,0.645455241,0.257289082,-0.205097884,0.995616794,0.643423676,0.257340491,-0.287609041,0.996138871,0.564946771,0.306217015,0.063573331,0.997484088,0.58591038,0.300193399,-0.521848619,0.996179461,0.663008928,0.334043264,0.10637822,0.619627416,0.714821458,0.338400722,-0.635295212,0.707267344,0.773764014,0.363396108,-0.031025004,0.653759241,0.825717032,0.35170424,-0.615401864,0.811967254,0.799451232,0.350203514,-0.035672221,0.661058605,0.850761235,0.364856035,-0.694278955,0.788090944,0.809575737,0.348715991,-0.093611091,0.664097548,0.855659008,0.361578256,-0.656552315,0.793660104,0.804701388,0.35710007,-0.061090875,0.656707883,0.84459579,0.36052236,-0.603906691,0.784253776,0.50054878,0.499353975,0.181649327,0.997449934,0.496817172,0.508214593,-0.181923032,0.997200906,0.613154292,0.551367283,0.309379697,0.672026455,0.609397054,0.560964942,-0.164740875,0.605609298,0.525889397,0.676894248,0.535229445,0.722333431,0.517770112,0.695662916,0.12299905,0.658153176,0.498950839,0.696168065,0.557522714,0.750776649,0.490478069,0.711947203,0.150844097,0.719375253,0.564625025,0.725000262,0.541918933,0.750607908,0.555032313,0.756670773,0.124824777,0.718725681,squat_bad_heel
0.656247318,0.257679939,-0.22429128,0.99773556,0.651005447,0.239762574,-0.226011127,0.996154547,0.649041176,0.238836214,-0.226270199,0.995541453,0.646862686,0.237878561,-0.226423666,0.996763587,0.649690628,0.239676476,-0.264832169,0.99738431,0.647130668,0.238921359,-0.264834642,0.997196376,0.64438343,0.238247961,-0.264864981,0.997559667,0.623221278,0.23984623,-0.084834181,0.993753552,0.622700036,0.241581842,-0.36348936,0.997459352,0.647005737,0.271004796,-0.186316118,0.995681286,0.644190252,0.270446241,-0.252004057,0.996255457,0.57504338,0.315926969,0.1110522,0.997436821,0.591071129,0.306901217,-0.485864669,0.996430755,0.688236535,0.342815518,0.180343106,0.581986308,0.722561479,0.338536143,-0.604108393,0.735249579,0.788702965,0.357263774,0.030107167,0.617382586,0.832773447,0.35005644,-0.55735451,0.828525066,0.810112178,0.366956711,0.023190439,0.62954849,0.85841924,0.363707364,-0.635014236,0.805691481,0.81547761,0.368925244,-0.034340475,0.633844495,0.862141907,0.360755056,-0.600244701,0.810233235,0.810519278,0.366067261,-0.000573246,0.62962544,0.84971416,0.358632475,-0.546671927,0.798358798,0.475764751,0.505200267,0.192069307,0.997629166,0.468173563,0.511545122,-0.192210436,0.997346699,0.604105353,0.553157985,0.36775893,0.649557948,0.615973473,0.560447395,-0.132912487,0.644168079,0.522752225,0.675917566,0.602690518,0.717046559,0.518981934,0.691532731,0.182680652,0.691468358,0.498392522,0.690196991,0.626455367,0.750877559,0.491510034,0.707304955,0.216636255,0.745585561,0.551647067,0.726328254,0.629987061,0.758043826,0.554341018,0.753582954,0.230146736,0.74544549,squat_bad_heel
0.66300118,0.269009292,-0.114939094,0.997895479,0.657721639,0.251301736,-0.092690222,0.996439397,0.655368507,0.25049156,-0.092845313,0.995891809,0.65252924,0.249581039,-0.092927843,0.997018158,0.656867743,0.251375139,-0.158940658,0.997561693,0.654251516,0.250844002,-0.15892528,0.997398138,0.651316285,0.250319809,-0.158942059,0.99773407,0.626974106,0.253353536,0.02515116,0.994316101,0.627693892,0.25507018,-0.255562156,0.99760139,0.652613282,0.282388419,-0.06479162,0.995861173,0.650410891,0.282116264,-0.155450165,0.996426702,0.581521511,0.330662787,0.209219247,0.997353196,0.596137166,0.318294078,-0.379781961,0.996663213,0.696059585,0.359409213,0.281555235,0.546781838,0.724927723,0.351707339,-0.476845264,0.759820104,0.792079747,0.36152187,0.133475333,0.578919888,0.836900711,0.348430902,-0.407683402,0.841804087,0.81976372,0.362468541,0.128090382,0.593492866,0.862636805,0.362054855,-0.47546497,0.818964124,0.821290493,0.361240804,0.076780476,0.598936915,0.865471601,0.360093951,-0.443398684,0.822440863,0.813601136,0.370814025,0.104940936,0.597472072,0.853836179,0.35834986,-0.397452027,0.807696879,0.465294898,0.518137693,0.190850407,0.997838557,0.460335106,0.517454147,-0.190882519,0.997567713,0.60871321,0.55969733,0.351277143,0.621525645,0.621044874,0.559466481,-0.133538052,0.678577125,0.521328628,0.681315482,0.550833464,0.702309608,0.518078387,0.691375554,0.169182226,0.720582366,0.496758878,0.69934845,0.571452081,0.74252528,0.491091311,0.70816654,0.203077927,0.768501997,0.555643797,0.740413606,0.578727484,0.755418956,0.554929376,0.75215286,0.239460453,0.768291414,squat_bad_heel
0.671097457,0.280113429,-0.071014404,0.998081982,0.66419965,0.262196034,-0.047854066,0.996761799,0.661786795,0.261221737,-0.047948506,0.996272683,0.659084201,0.260181755,-0.047979958,0.997292221,0.663613558,0.262091786,-0.110410132,0.997777104,0.661015689,0.261230201,-0.110418826,0.99763459,0.658197582,0.260327786,-0.110442713,0.997939587,0.634975553,0.263454854,0.071548738,0.994867682,0.634630203,0.264227539,-0.240603998,0.997817099,0.661290586,0.292740494,-0.021118231,0.996178269,0.659959793,0.291872025,-0.103623606,0.996709943,0.588914454,0.340424269,0.252761513,0.9973405,0.601412654,0.328295857,-0.34958899,0.996926844,0.698318183,0.361522287,0.311689436,0.520237803,0.722028077,0.354580343,-0.462965161,0.783062458,0.798011243,0.362461299,0.16922617,0.552002192,0.837299407,0.352932036,-0.394652367,0.855831444,0.814043641,0.349189878,0.168462425,0.568118691,0.864845991,0.36314413,-0.462332696,0.833720922,0.819686711,0.365564346,0.11916972,0.574371576,0.868611455,0.359353065,-0.421877325,0.836462855,0.816441476,0.365879029,0.141977787,0.575116694,0.856942236,0.357678175,-0.380971193,0.820825219,0.459172517,0.527994096,0.193963528,0.998010099,0.458593994,0.523866117,-0.193925023,0.997754514,0.609095931,0.562872291,0.282439977,0.594807088,0.622992396,0.558506131,-0.212792397,0.709706724,0.519951761,0.688092411,0.442569017,0.684139788,0.51863426,0.694534004,0.038214423,0.746558487,0.491735429,0.702343583,0.458794534,0.73252368,0.488065064,0.708640635,0.066571154,0.789061785,0.556989372,0.751803577,0.458069831,0.744339049,0.559359789,0.756809354,0.106923282,0.788085461,squat_bad_heel
